person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation
2198,Kwame Brown,2001,1,1,1,Draft,1610612764,Washington,Wizards,WAS
2199,Tyson Chandler,2001,1,2,2,Draft,1610612746,Los Angeles,Clippers,LAC
2200,Pau Gasol,2001,1,3,3,Draft,1610612737,Atlanta,Hawks,ATL
2201,Eddy Curry,2001,1,4,4,Draft,1610612741,Chicago,Bulls,CHI
2202,Jason Richardson,2001,1,5,5,Draft,1610612744,Golden State,Warriors,GSW
2203,Shane Battier,2001,1,6,6,Draft,1610612763,Memphis,Grizzlies,MEM
2204,Eddie Griffin,2001,1,7,7,Draft,1610612751,New Jersey,Nets,NJN
2205,DeSagana Diop,2001,1,8,8,Draft,1610612739,Cleveland,Cavaliers,CLE
2206,Rodney White,2001,1,9,9,Draft,1610612765,Detroit,Pistons,DET
2207,Joe Johnson,2001,1,10,10,Draft,1610612738,Boston,Celtics,BOS
2208,Kedrick Brown,2001,1,11,11,Draft,1610612738,Boston,Celtics,BOS
2209,Vladimir Radmanovic,2001,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA
2210,Richard Jefferson,2001,1,13,13,Draft,1610612745,Houston,Rockets,HOU
2211,Troy Murphy,2001,1,14,14,Draft,1610612744,Golden State,Warriors,GSW
2212,Steven Hunter,2001,1,15,15,Draft,1610612753,Orlando,Magic,ORL
2213,Kirk Haston,2001,1,16,16,Draft,1610612766,Charlotte,Hornets,CHH
2214,Michael Bradley,2001,1,17,17,Draft,1610612761,Toronto,Raptors,TOR
2215,Jason Collins,2001,1,18,18,Draft,1610612745,Houston,Rockets,HOU
2216,Zach Randolph,2001,1,19,19,Draft,1610612757,Portland,Trail Blazers,POR
2217,Brendan Haywood,2001,1,20,20,Draft,1610612739,Cleveland,Cavaliers,CLE
2218,Joseph Forte,2001,1,21,21,Draft,1610612738,Boston,Celtics,BOS
2219,Jeryl Sasser,2001,1,22,22,Draft,1610612753,Orlando,Magic,ORL
2220,Brandon Armstrong,2001,1,23,23,Draft,1610612745,Houston,Rockets,HOU
2221,Raul Lopez,2001,1,24,24,Draft,1610612762,Utah,Jazz,UTA
2222,Gerald Wallace,2001,1,25,25,Draft,1610612758,Sacramento,Kings,SAC
2223,Samuel Dalembert,2001,1,26,26,Draft,1610612755,Philadelphia,76ers,PHI
2224,Jamaal Tinsley,2001,1,27,27,Draft,1610612763,Memphis,Grizzlies,MEM
2225,Tony Parker,2001,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS
2239,Trenton Hassell,2001,2,1,29,Draft,1610612741,Chicago,Bulls,CHI
2240,Gilbert Arenas,2001,2,2,30,Draft,1610612744,Golden State,Warriors,GSW
2241,Omar Cook,2001,2,3,31,Draft,1610612753,Orlando,Magic,ORL
2226,Will Solomon,2001,2,4,32,Draft,1610612763,Memphis,Grizzlies,MEM
2242,Terence Morris,2001,2,5,33,Draft,1610612737,Atlanta,Hawks,ATL
2243,Brian Scalabrine,2001,2,6,34,Draft,1610612751,New Jersey,Nets,NJN
2244,Jeff Trepagnier,2001,2,7,35,Draft,1610612739,Cleveland,Cavaliers,CLE
2245,Damone Brown,2001,2,8,36,Draft,1610612755,Philadelphia,76ers,PHI
2246,Mehmet Okur,2001,2,9,37,Draft,1610612765,Detroit,Pistons,DET
2247,Michael Wright,2001,2,10,38,Draft,1610612752,New York,Knicks,NYK
2248,Earl Watson,2001,2,11,39,Draft,1610612760,Seattle,SuperSonics,SEA
2249,Jamison Brewer,2001,2,12,40,Draft,1610612754,Indiana,Pacers,IND
2250,Bobby Simmons,2001,2,13,41,Draft,1610612760,Seattle,SuperSonics,SEA
2251,Eric Chenowith,2001,2,14,42,Draft,1610612752,New York,Knicks,NYK
2252,Kyle Hill,2001,2,15,43,Draft,1610612742,Dallas,Mavericks,DAL
2253,Sean Lampley,2001,2,16,44,Draft,1610612741,Chicago,Bulls,CHI
2254,Loren Woods,2001,2,17,45,Draft,1610612750,Minnesota,Timberwolves,MIN
2255,Ousmane Cisse,2001,2,18,46,Draft,1610612743,Denver,Nuggets,DEN
2238,Antonis Fotsis,2001,2,19,47,Draft,1610612763,Memphis,Grizzlies,MEM
2256,Ken Johnson,2001,2,20,48,Draft,1610612748,Miami,Heat,MIA
2257,Ruben Boumtje-Boumtje,2001,2,21,49,Draft,1610612757,Portland,Trail Blazers,POR
2228,Alton Ford,2001,2,22,50,Draft,1610612756,Phoenix,Suns,PHX
2259,Andre Hutson,2001,2,23,51,Draft,1610612749,Milwaukee,Bucks,MIL
2260,Jarron Collins,2001,2,24,52,Draft,1610612762,Utah,Jazz,UTA
2261,Kenny Satterfield,2001,2,25,53,Draft,1610612742,Dallas,Mavericks,DAL
2262,Maurice Jeffers,2001,2,26,54,Draft,1610612758,Sacramento,Kings,SAC
2263,Robertas Javtokas,2001,2,27,55,Draft,1610612759,San Antonio,Spurs,SAS
2264,Alvin Jones,2001,2,28,56,Draft,1610612755,Philadelphia,76ers,PHI
2265,Bryan Bracey,2001,2,29,57,Draft,1610612759,San Antonio,Spurs,SAS
2397,Yao Ming,2002,1,1,1,Draft,1610612745,Houston,Rockets,HOU
2398,Jay Williams,2002,1,2,2,Draft,1610612741,Chicago,Bulls,CHI
2399,Mike Dunleavy,2002,1,3,3,Draft,1610612744,Golden State,Warriors,GSW
2400,Drew Gooden,2002,1,4,4,Draft,1610612763,Memphis,Grizzlies,MEM
2401,Nikoloz Tskitishvili,2002,1,5,5,Draft,1610612743,Denver,Nuggets,DEN
2402,Dajuan Wagner,2002,1,6,6,Draft,1610612739,Cleveland,Cavaliers,CLE
2403,Nene,2002,1,7,7,Draft,1610612752,New York,Knicks,NYK
2404,Chris Wilcox,2002,1,8,8,Draft,1610612746,Los Angeles,Clippers,LAC
2405,Amar'e Stoudemire,2002,1,9,9,Draft,1610612756,Phoenix,Suns,PHX
2406,Caron Butler,2002,1,10,10,Draft,1610612748,Miami,Heat,MIA
2407,Jared Jeffries,2002,1,11,11,Draft,1610612764,Washington,Wizards,WAS
2408,Melvin Ely,2002,1,12,12,Draft,1610612746,Los Angeles,Clippers,LAC
2409,Marcus Haislip,2002,1,13,13,Draft,1610612749,Milwaukee,Bucks,MIL
2410,Fred Jones,2002,1,14,14,Draft,1610612754,Indiana,Pacers,IND
2411,Bostjan Nachbar,2002,1,15,15,Draft,1610612745,Houston,Rockets,HOU
2412,Jiri Welsch,2002,1,16,16,Draft,1610612755,Philadelphia,76ers,PHI
2413,Juan Dixon,2002,1,17,17,Draft,1610612764,Washington,Wizards,WAS
2414,Curtis Borchardt,2002,1,18,18,Draft,1610612753,Orlando,Magic,ORL
2415,Ryan Humphrey,2002,1,19,19,Draft,1610612762,Utah,Jazz,UTA
2416,Kareem Rush,2002,1,20,20,Draft,1610612761,Toronto,Raptors,TOR
2417,Qyntel Woods,2002,1,21,21,Draft,1610612757,Portland,Trail Blazers,POR
2418,Casey Jacobsen,2002,1,22,22,Draft,1610612756,Phoenix,Suns,PHX
2419,Tayshaun Prince,2002,1,23,23,Draft,1610612765,Detroit,Pistons,DET
2420,Nenad Krstic,2002,1,24,24,Draft,1610612751,New Jersey,Nets,NJN
2421,Frank Williams,2002,1,25,25,Draft,1610612743,Denver,Nuggets,DEN
2422,John Salmons,2002,1,26,26,Draft,1610612759,San Antonio,Spurs,SAS
2423,Chris Jefferies,2002,1,27,27,Draft,1610612747,Los Angeles,Lakers,LAL
2424,Dan Dickau,2002,1,28,28,Draft,1610612758,Sacramento,Kings,SAC
2426,Steve Logan,2002,2,1,29,Draft,1610612744,Golden State,Warriors,GSW
2427,Roger Mason Jr.,2002,2,2,30,Draft,1610612741,Chicago,Bulls,CHI
2425,Robert Archibald,2002,2,3,31,Draft,1610612763,Memphis,Grizzlies,MEM
2428,Vincent Yarbrough,2002,2,4,32,Draft,1610612743,Denver,Nuggets,DEN
2429,Dan Gadzuric,2002,2,5,33,Draft,1610612749,Milwaukee,Bucks,MIL
2430,Carlos Boozer,2002,2,6,34,Draft,1610612739,Cleveland,Cavaliers,CLE
2525,Milos Vujanic,2002,2,7,35,Draft,1610612752,New York,Knicks,NYK
2431,David Andersen,2002,2,8,36,Draft,1610612737,Atlanta,Hawks,ATL
2432,Tito Maddox,2002,2,9,37,Draft,1610612745,Houston,Rockets,HOU
2433,Rod Grizzard,2002,2,10,38,Draft,1610612764,Washington,Wizards,WAS
2434,Juan Carlos Navarro,2002,2,11,39,Draft,1610612764,Washington,Wizards,WAS
2435,Mario Kasun,2002,2,12,40,Draft,1610612746,Los Angeles,Clippers,LAC
2436,Flip Murray,2002,2,13,41,Draft,1610612749,Milwaukee,Bucks,MIL
2438,Jason Jennings,2002,2,14,42,Draft,1610612757,Portland,Trail Blazers,POR
2437,Lonny Baxter,2002,2,15,43,Draft,1610612741,Chicago,Bulls,CHI
2439,Sam Clancy,2002,2,16,44,Draft,1610612755,Philadelphia,76ers,PHI
2440,Matt Barnes,2002,2,17,45,Draft,1610612763,Memphis,Grizzlies,MEM
2441,Jamal Sampson,2002,2,18,46,Draft,1610612762,Utah,Jazz,UTA
2442,Chris Owens,2002,2,19,47,Draft,1610612749,Milwaukee,Bucks,MIL
2526,Peter Fehse,2002,2,20,48,Draft,1610612760,Seattle,SuperSonics,SEA
2443,Darius Songaila,2002,2,21,49,Draft,1610612738,Boston,Celtics,BOS
2444,Federico Kammerichs,2002,2,22,50,Draft,1610612757,Portland,Trail Blazers,POR
2445,Marcus Taylor,2002,2,23,51,Draft,1610612750,Minnesota,Timberwolves,MIN
2446,Rasual Butler,2002,2,24,52,Draft,1610612748,Miami,Heat,MIA
2447,Tamar Slay,2002,2,25,53,Draft,1610612751,New Jersey,Nets,NJN
2448,Mladen Sekularac,2002,2,26,54,Draft,1610612742,Dallas,Mavericks,DAL
2449,Luis Scola,2002,2,27,55,Draft,1610612759,San Antonio,Spurs,SAS
2450,Randy Holcomb,2002,2,28,56,Draft,1610612759,San Antonio,Spurs,SAS
2451,Corsley Edwards,2002,2,29,57,Draft,1610612758,Sacramento,Kings,SAC
2544,LeBron James,2003,1,1,1,Draft,1610612739,Cleveland,Cavaliers,CLE
2545,Darko Milicic,2003,1,2,2,Draft,1610612765,Detroit,Pistons,DET
2546,Carmelo Anthony,2003,1,3,3,Draft,1610612743,Denver,Nuggets,DEN
2547,Chris Bosh,2003,1,4,4,Draft,1610612761,Toronto,Raptors,TOR
2548,Dwyane Wade,2003,1,5,5,Draft,1610612748,Miami,Heat,MIA
2549,Chris Kaman,2003,1,6,6,Draft,1610612746,Los Angeles,Clippers,LAC
2550,Kirk Hinrich,2003,1,7,7,Draft,1610612741,Chicago,Bulls,CHI
2551,T.J. Ford,2003,1,8,8,Draft,1610612749,Milwaukee,Bucks,MIL
2552,Michael Sweetney,2003,1,9,9,Draft,1610612752,New York,Knicks,NYK
2553,Jarvis Hayes,2003,1,10,10,Draft,1610612764,Washington,Wizards,WAS
2554,Mickael Pietrus,2003,1,11,11,Draft,1610612744,Golden State,Warriors,GSW
2555,Nick Collison,2003,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA
2556,Marcus Banks,2003,1,13,13,Draft,1610612763,Memphis,Grizzlies,MEM
2557,Luke Ridnour,2003,1,14,14,Draft,1610612760,Seattle,SuperSonics,SEA
2558,Reece Gaines,2003,1,15,15,Draft,1610612753,Orlando,Magic,ORL
2559,Troy Bell,2003,1,16,16,Draft,1610612738,Boston,Celtics,BOS
2560,Zarko Cabarkapa,2003,1,17,17,Draft,1610612756,Phoenix,Suns,PHX
2561,David West,2003,1,18,18,Draft,1610612740,New Orleans,Hornets,NOH
2562,Sasha Pavlovic,2003,1,19,19,Draft,1610612762,Utah,Jazz,UTA
2563,Dahntay Jones,2003,1,20,20,Draft,1610612738,Boston,Celtics,BOS
2564,Boris Diaw,2003,1,21,21,Draft,1610612737,Atlanta,Hawks,ATL
2565,Zoran Planinic,2003,1,22,22,Draft,1610612751,New Jersey,Nets,NJN
2566,Travis Outlaw,2003,1,23,23,Draft,1610612757,Portland,Trail Blazers,POR
2567,Brian Cook,2003,1,24,24,Draft,1610612747,Los Angeles,Lakers,LAL
2568,Carlos Delfino,2003,1,25,25,Draft,1610612765,Detroit,Pistons,DET
2569,Ndudi Ebi,2003,1,26,26,Draft,1610612750,Minnesota,Timberwolves,MIN
2570,Kendrick Perkins,2003,1,27,27,Draft,1610612763,Memphis,Grizzlies,MEM
2571,Leandro Barbosa,2003,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS
2572,Josh Howard,2003,1,29,29,Draft,1610612742,Dallas,Mavericks,DAL
2573,Maciej Lampe,2003,2,1,30,Draft,1610612752,New York,Knicks,NYK
2574,Jason Kapono,2003,2,2,31,Draft,1610612739,Cleveland,Cavaliers,CLE
2575,Luke Walton,2003,2,3,32,Draft,1610612747,Los Angeles,Lakers,LAL
2602,Jerome Beasley,2003,2,4,33,Draft,1610612748,Miami,Heat,MIA
2577,Sofoklis Schortsanitis,2003,2,5,34,Draft,1610612746,Los Angeles,Clippers,LAC
2578,Szymon Szewczyk,2003,2,6,35,Draft,1610612749,Milwaukee,Bucks,MIL
2579,Mario Austin,2003,2,7,36,Draft,1610612741,Chicago,Bulls,CHI
2580,Travis Hansen,2003,2,8,37,Draft,1610612737,Atlanta,Hawks,ATL
2581,Steve Blake,2003,2,9,38,Draft,1610612764,Washington,Wizards,WAS
2582,Slavko Vranes,2003,2,10,39,Draft,1610612752,New York,Knicks,NYK
2583,Derrick Zimmerman,2003,2,11,40,Draft,1610612744,Golden State,Warriors,GSW
2584,Willie Green,2003,2,12,41,Draft,1610612760,Seattle,SuperSonics,SEA
2585,Zaza Pachulia,2003,2,13,42,Draft,1610612753,Orlando,Magic,ORL
2586,Keith Bogans,2003,2,14,43,Draft,1610612749,Milwaukee,Bucks,MIL
2587,Malick Badiane,2003,2,15,44,Draft,1610612745,Houston,Rockets,HOU
2588,Matt Bonner,2003,2,16,45,Draft,1610612741,Chicago,Bulls,CHI
2589,Sani Becirovic,2003,2,17,46,Draft,1610612743,Denver,Nuggets,DEN
2590,Mo Williams,2003,2,18,47,Draft,1610612762,Utah,Jazz,UTA
2591,James Lang,2003,2,19,48,Draft,1610612740,New Orleans,Hornets,NOH
2592,James Jones,2003,2,20,49,Draft,1610612754,Indiana,Pacers,IND
2593,Paccelis Morlende,2003,2,21,50,Draft,1610612755,Philadelphia,76ers,PHI
2594,Kyle Korver,2003,2,22,51,Draft,1610612751,New Jersey,Nets,NJN
2595,Remon Van de Hare,2003,2,23,52,Draft,1610612761,Toronto,Raptors,TOR
2596,Tommy Smith,2003,2,24,53,Draft,1610612741,Chicago,Bulls,CHI
2597,Nedzad Sinanovic,2003,2,25,54,Draft,1610612757,Portland,Trail Blazers,POR
2598,Rick Rickert,2003,2,26,55,Draft,1610612750,Minnesota,Timberwolves,MIN
2599,Brandon Hunter,2003,2,27,56,Draft,1610612738,Boston,Celtics,BOS
2600,Xue Yuyang,2003,2,28,57,Draft,1610612742,Dallas,Mavericks,DAL
2601,Andreas Glyniadakis,2003,2,29,58,Draft,1610612765,Detroit,Pistons,DET
2730,Dwight Howard,2004,1,1,1,Draft,1610612753,Orlando,Magic,ORL
2731,Emeka Okafor,2004,1,2,2,Draft,1610612766,Charlotte,Bobcats,CHA
2732,Ben Gordon,2004,1,3,3,Draft,1610612741,Chicago,Bulls,CHI
2733,Shaun Livingston,2004,1,4,4,Draft,1610612746,Los Angeles,Clippers,LAC
2734,Devin Harris,2004,1,5,5,Draft,1610612764,Washington,Wizards,WAS
2735,Josh Childress,2004,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL
2736,Luol Deng,2004,1,7,7,Draft,1610612756,Phoenix,Suns,PHX
2737,Rafael Araujo,2004,1,8,8,Draft,1610612761,Toronto,Raptors,TOR
2738,Andre Iguodala,2004,1,9,9,Draft,1610612755,Philadelphia,76ers,PHI
2739,Luke Jackson,2004,1,10,10,Draft,1610612739,Cleveland,Cavaliers,CLE
2740,Andris Biedrins,2004,1,11,11,Draft,1610612744,Golden State,Warriors,GSW
2741,Robert Swift,2004,1,12,12,Draft,1610612760,Seattle,SuperSonics,SEA
2742,Sebastian Telfair,2004,1,13,13,Draft,1610612757,Portland,Trail Blazers,POR
2743,Kris Humphries,2004,1,14,14,Draft,1610612762,Utah,Jazz,UTA
2744,Al Jefferson,2004,1,15,15,Draft,1610612738,Boston,Celtics,BOS
2745,Kirk Snyder,2004,1,16,16,Draft,1610612762,Utah,Jazz,UTA
2746,Josh Smith,2004,1,17,17,Draft,1610612737,Atlanta,Hawks,ATL
2747,JR Smith,2004,1,18,18,Draft,1610612740,New Orleans,Hornets,NOH
2748,Dorell Wright,2004,1,19,19,Draft,1610612748,Miami,Heat,MIA
2749,Jameer Nelson,2004,1,20,20,Draft,1610612743,Denver,Nuggets,DEN
2750,Pavel Podkolzin,2004,1,21,21,Draft,1610612762,Utah,Jazz,UTA
2751,Viktor Khryapa,2004,1,22,22,Draft,1610612751,New Jersey,Nets,NJN
2752,Sergei Monia,2004,1,23,23,Draft,1610612757,Portland,Trail Blazers,POR
2753,Delonte West,2004,1,24,24,Draft,1610612738,Boston,Celtics,BOS
2754,Tony Allen,2004,1,25,25,Draft,1610612738,Boston,Celtics,BOS
2755,Kevin Martin,2004,1,26,26,Draft,1610612758,Sacramento,Kings,SAC
2756,Sasha Vujacic,2004,1,27,27,Draft,1610612747,Los Angeles,Lakers,LAL
2757,Beno Udrih,2004,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS
2758,David Harrison,2004,1,29,29,Draft,1610612754,Indiana,Pacers,IND
2760,Anderson Varejao,2004,2,1,30,Draft,1610612753,Orlando,Magic,ORL
2761,Jackson Vroman,2004,2,2,31,Draft,1610612741,Chicago,Bulls,CHI
2762,Peter John Ramos,2004,2,3,32,Draft,1610612764,Washington,Wizards,WAS
2763,Lionel Chalmers,2004,2,4,33,Draft,1610612746,Los Angeles,Clippers,LAC
2764,Donta Smith,2004,2,5,34,Draft,1610612737,Atlanta,Hawks,ATL
2765,Andre Emmett,2004,2,6,35,Draft,1610612760,Seattle,SuperSonics,SEA
2766,Antonio Burks,2004,2,7,36,Draft,1610612753,Orlando,Magic,ORL
2767,Royal Ivey,2004,2,8,37,Draft,1610612737,Atlanta,Hawks,ATL
2768,Chris Duhon,2004,2,9,38,Draft,1610612741,Chicago,Bulls,CHI
2769,Albert Miralles,2004,2,10,39,Draft,1610612761,Toronto,Raptors,TOR
2770,Justin Reed,2004,2,11,40,Draft,1610612738,Boston,Celtics,BOS
2801,David Young,2004,2,12,41,Draft,1610612760,Seattle,SuperSonics,SEA
2771,Viktor Sanikidze,2004,2,13,42,Draft,1610612737,Atlanta,Hawks,ATL
2772,Trevor Ariza,2004,2,14,43,Draft,1610612752,New York,Knicks,NYK
2773,Tim Pickett,2004,2,15,44,Draft,1610612740,New Orleans,Hornets,NOH
2774,Bernard Robinson,2004,2,16,45,Draft,1610612766,Charlotte,Bobcats,CHA
2775,Ha Ha,2004,2,17,46,Draft,1610612757,Portland,Trail Blazers,POR
2776,Pape Sow,2004,2,18,47,Draft,1610612748,Miami,Heat,MIA
2777,Ricky Minard,2004,2,19,48,Draft,1610612758,Sacramento,Kings,SAC
2778,Sergei Lishouk,2004,2,20,49,Draft,1610612763,Memphis,Grizzlies,MEM
2779,Vassilis Spanoulis,2004,2,21,50,Draft,1610612742,Dallas,Mavericks,DAL
2780,Christian Drejer,2004,2,22,51,Draft,1610612751,New Jersey,Nets,NJN
2781,Romain Sato,2004,2,23,52,Draft,1610612759,San Antonio,Spurs,SAS
2782,Matt Freije,2004,2,24,53,Draft,1610612748,Miami,Heat,MIA
2783,Rickey Paulding,2004,2,25,54,Draft,1610612765,Detroit,Pistons,DET
2784,Luis Flores,2004,2,26,55,Draft,1610612745,Houston,Rockets,HOU
2785,Marcus Douthit,2004,2,27,56,Draft,1610612747,Los Angeles,Lakers,LAL
2807,Sergei Karaulov,2004,2,28,57,Draft,1610612759,San Antonio,Spurs,SAS
2786,Blake Stepp,2004,2,29,58,Draft,1610612750,Minnesota,Timberwolves,MIN
2787,Rashad Wright,2004,2,30,59,Draft,1610612754,Indiana,Pacers,IND
101106,Andrew Bogut,2005,1,1,1,Draft,1610612749,Milwaukee,Bucks,MIL
101107,Marvin Williams,2005,1,2,2,Draft,1610612737,Atlanta,Hawks,ATL
101114,Deron Williams,2005,1,3,3,Draft,1610612762,Utah,Jazz,UTA
101108,Chris Paul,2005,1,4,4,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK
101109,Raymond Felton,2005,1,5,5,Draft,1610612766,Charlotte,Bobcats,CHA
101110,Martell Webster,2005,1,6,6,Draft,1610612757,Portland,Trail Blazers,POR
101111,Charlie Villanueva,2005,1,7,7,Draft,1610612761,Toronto,Raptors,TOR
101112,Channing Frye,2005,1,8,8,Draft,1610612752,New York,Knicks,NYK
101113,Ike Diogu,2005,1,9,9,Draft,1610612744,Golden State,Warriors,GSW
101115,Andrew Bynum,2005,1,10,10,Draft,1610612747,Los Angeles,Lakers,LAL
101116,Fran Vazquez,2005,1,11,11,Draft,1610612753,Orlando,Magic,ORL
101117,Yaroslav Korolev,2005,1,12,12,Draft,1610612746,Los Angeles,Clippers,LAC
101118,Sean May,2005,1,13,13,Draft,1610612766,Charlotte,Bobcats,CHA
101119,Rashad McCants,2005,1,14,14,Draft,1610612750,Minnesota,Timberwolves,MIN
101120,Antoine Wright,2005,1,15,15,Draft,1610612751,New Jersey,Nets,NJN
101121,Joey Graham,2005,1,16,16,Draft,1610612761,Toronto,Raptors,TOR
101122,Danny Granger,2005,1,17,17,Draft,1610612754,Indiana,Pacers,IND
101123,Gerald Green,2005,1,18,18,Draft,1610612738,Boston,Celtics,BOS
101124,Hakim Warrick,2005,1,19,19,Draft,1610612763,Memphis,Grizzlies,MEM
101125,Julius Hodge,2005,1,20,20,Draft,1610612743,Denver,Nuggets,DEN
101126,Nate Robinson,2005,1,21,21,Draft,1610612756,Phoenix,Suns,PHX
101127,Jarrett Jack,2005,1,22,22,Draft,1610612743,Denver,Nuggets,DEN
101128,Francisco Garcia,2005,1,23,23,Draft,1610612758,Sacramento,Kings,SAC
101129,Luther Head,2005,1,24,24,Draft,1610612745,Houston,Rockets,HOU
101130,Johan Petro,2005,1,25,25,Draft,1610612760,Seattle,SuperSonics,SEA
101131,Jason Maxiell,2005,1,26,26,Draft,1610612765,Detroit,Pistons,DET
101132,Linas Kleiza,2005,1,27,27,Draft,1610612757,Portland,Trail Blazers,POR
101133,Ian Mahinmi,2005,1,28,28,Draft,1610612759,San Antonio,Spurs,SAS
101134,Wayne Simien,2005,1,29,29,Draft,1610612748,Miami,Heat,MIA
101135,David Lee,2005,1,30,30,Draft,1610612752,New York,Knicks,NYK
101136,Salim Stoudamire,2005,2,1,31,Draft,1610612737,Atlanta,Hawks,ATL
101137,Daniel Ewing,2005,2,2,32,Draft,1610612746,Los Angeles,Clippers,LAC
101138,Brandon Bass,2005,2,3,33,Draft,1610612740,New Orleans/Oklahoma City,Hornets,NOK
101139,CJ Miles,2005,2,4,34,Draft,1610612762,Utah,Jazz,UTA
101140,Ricky Sanchez,2005,2,5,35,Draft,1610612757,Portland,Trail Blazers,POR
101141,Ersan Ilyasova,2005,2,6,36,Draft,1610612749,Milwaukee,Bucks,MIL
101142,Ronny Turiaf,2005,2,7,37,Draft,1610612747,Los Angeles,Lakers,LAL
